EffectiveDate,TariffRateType,ExpiryDate,RateTier,BPDMin,BPDMax,Origin,Destination,Rate,SourcePage
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Carpenter Located in Laramie County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Carpenter Located in Laramie County, WY","McPherson Located in McPherson County, KS2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Carpenter Located in Laramie County, WY","P66 Ponca City Located in Kay County, OK",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Carpenter Located in Laramie County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Platteville Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Platteville Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Platteville Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Platteville Located in Weld County, CO","McPherson Located in McPherson County, KS2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Platteville Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Platteville Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK3",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Buckingham Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Buckingham Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Buckingham Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Buckingham Located in Weld County, CO","McPherson Located in McPherson County, KS2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Buckingham Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Buckingham Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK3",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Pawnee Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Pawnee Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Pawnee Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Pawnee Located in Weld County, CO","McPherson Located in McPherson County, KS2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Pawnee Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Pawnee Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK3",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Hereford Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Hereford Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Hereford Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Hereford Located in Weld County, CO","McPherson Located in McPherson County, KS2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Hereford Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Hereford Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK3",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Sterling Located in Logan County, CO","Pawnee Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Sterling Located in Logan County, CO","Buckingham Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Sterling Located in Logan County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Sterling Located in Logan County, CO","McPherson Located in McPherson County, KS2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK3",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Natoma Located in Rooks County, KS","Pawnee Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Natoma Located in Rooks County, KS","Buckingham Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Natoma Located in Rooks County, KS","Augusta Located in Butler County, KS (El Dorado)2",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Natoma Located in Rooks County, KS","McPherson Located in McPherson County, KS2",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Natoma Located in Rooks County, KS","P66 Ponca City Located in Kay County, OK",166.03,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Natoma Located in Rooks County, KS","Various Cushing Destinations Located in Payne County, OK3",166.03,4
"December 1, 2025","NON-CONTRACT RATES
TEMPORARY VOLUME INCENTIVE RATES","[W]February 28, 2026November 30, 2025.",Rate Tier 1,0,12,"McPherson Located in McPherson County, KS2",515.26,515.26,5
"December 1, 2025","NON-CONTRACT RATES
TEMPORARY VOLUME INCENTIVE RATES","[W]February 28, 2026November 30, 2025.",Rate Tier 1,0,12,"McPherson Located in McPherson County, KS2",361.07,361.07,5
"December 1, 2025","NON-CONTRACT RATES
TEMPORARY VOLUME INCENTIVE RATES","[W]February 28, 2026November 30, 2025.",Rate Tier 1,0,12,"P66 Ponca City Located in Kay County, OK",515.26,515.26,5
"December 1, 2025","NON-CONTRACT RATES
TEMPORARY VOLUME INCENTIVE RATES","[W]February 28, 2026November 30, 2025.",Rate Tier 1,0,12,"P66 Ponca City Located in Kay County, OK",361.07,361.07,5
"December 1, 2025","NON-CONTRACT RATES
TEMPORARY VOLUME INCENTIVE RATES","[W]February 28, 2026November 30, 2025.",Rate Tier 1,0,12,"Various Cushing Destinations Located in Payne County, OK3",515.26,518.32,5
"December 1, 2025","NON-CONTRACT RATES
TEMPORARY VOLUME INCENTIVE RATES","[W]February 28, 2026November 30, 2025.",Rate Tier 1,0,12,"Various Cushing Destinations Located in Payne County, OK3",361.07,364.13,5
"December 1, 2025",CONTRACT RATES,,,0,2,"10,000 BPD","McPherson Located in McPherson County, KS",249.894,8
"December 1, 2025",CONTRACT RATES,,,0,2,"3,000 – 4,999 BPD","Sterling Located in Logan County, CO",130.08,8
"December 1, 2025",CONTRACT RATES,,,0,2,"3,000 – 4,999 BPD",Incremental Committed Shipper Rates,86.73,8
"December 1, 2025",CONTRACT RATES,,,0,2,"0 – 15,000 BPD","Sterling Located in Logan County, CO",47.68,8
"December 1, 2025",CONTRACT RATES,,,0,2,"13,000 bpd or greater","Sterling Located in Logan County, CO",102.00,8
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Augusta Located in Butler County, KS (El Dorado)",387.47,339.78,9
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Augusta Located in Butler County, KS (El Dorado)",262.29,214.60,9
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations Located in Payne County, OK",214.30,244.01,9
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations Located in Payne County, OK",244.01,n/a,9
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Incentive Rate,270.00,10
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Secondary Origin Barrel Rate,n/a,10
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Incentiv e Rate,260.00,10
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Secondary Origin Barrel Rate,n/a,10
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Incentiv e Rate,250.00,10
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Secondary Origin Barrel Rate,n/a,10
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Incentive Rate,255.00,10
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Secondary Origin Barrel Rate,n/a,10
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Incentiv e Rate,245.00,10
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Secondary Origin Barrel Rate,n/a,10
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Incentiv e Rate,192.00,10
"December 1, 2025",CONTRACT VOLUME INCENTIVE RATES,,,0,2,"Various Cushing Destinations located in Payne County, OK",Secondary Origin Barrel Rate,n/a,10
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","Sterling Located in Logan County, CO",0.050%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","Sterling Located in Logan County, CO",0.050%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","Sterling Located in Logan County, CO",0.050%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","Sterling Located in Logan County, CO",0.050%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey HH Located in Platte County, WY","Sterling Located in Logan County, CO",0.050%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey HH Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey HH Located in Platte County, WY","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey HH Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey HH Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Sterling Located in Logan County, CO","Sterling Located in Logan County, CO",N/A,12
"December 1, 2025",PLA RATES,,,0,2,"Sterling Located in Logan County, CO","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Sterling Located in Logan County, CO","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","Sterling Located in Logan County, CO",0.050%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","Sterling Located in Logan County, CO",0.050%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","Sterling Located in Logan County, CO",0.050%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","Sterling Located in Logan County, CO",0.050%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey HH Located in Platte County, WY","Sterling Located in Logan County, CO",0.050%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey HH Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey HH Located in Platte County, WY","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey HH Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Guernsey HH Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Sterling Located in Logan County, CO","Sterling Located in Logan County, CO",N/A,12
"December 1, 2025",PLA RATES,,,0,2,"Sterling Located in Logan County, CO","Augusta Located in Butler County, KS (El Dorado)",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Sterling Located in Logan County, CO","McPherson Located in McPherson County, KS",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",0.150%,12
"December 1, 2025",PLA RATES,,,0,2,"Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK",0.150%,12
