Pipeline,EffectiveDate,PageNumber,RateType,Origin,Destination,Rate
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PXP Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PXP Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PXP Located in Platte County, WY","Sterling Located in Logan County, CO",19.90
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PXP Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PXP Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PXP Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PXP Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Eighty Eight Oil Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Eighty Eight Oil Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Eighty Eight Oil Located in Platte County, WY","Sterling Located in Logan County, CO",19.90
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Eighty Eight Oil Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Eighty Eight Oil Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Eighty Eight Oil Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Eighty Eight Oil Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PRG Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PRG Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PRG Located in Platte County, WY","Sterling Located in Logan County, CO",19.90
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PRG Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PRG Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PRG Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey PRG Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","Sterling Located in Logan County, CO",19.90
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","Sterling Located in Logan County, CO",19.90
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","Pawnee Located in Weld County, CO",99.49
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","Buckingham Located in Weld County, CO",99.49
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","Sterling Located in Logan County, CO",159.18
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","Augusta Located in Butler County, KS (El Dorado)2",604.38
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","McPherso n Located in McPherso n County, KS2",604.38
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","P66 Ponca City Located in Kay County, OK",604.38
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",604.38
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","Buckingham Located in Weld County, CO",117.60
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","Sterling Located in Logan County, CO",13.26 [F1]
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","Sterling Located in Logan County, CO",59.69
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","Sterling Located in Logan County, CO",59.69
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","Pawnee Located in Weld County, CO",59.69
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","Sterling Located in Logan County, CO",112.75
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","Sterling Located in Logan County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","McPherso n Located in McPherso n County, KS2",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,3,NON-CONTRACT TRANSPORTATION RATES,"Natoma Located in Rooks County, KS","Pawnee Located in Weld County, CO",N/A
